file	probe_count	reason	operator_decision
tests/unit/UT1.6_CatalogTools/test_catalog_tools.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.18_RelationalConnectorDispatch/test_relational_connector_dispatch.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.22_TestDataSeed/test_test_data_seed_api.py	4	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.52_FlatLoginContract/test_flat_login_contract.py	9	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.15_A2AServer/test_a2a_server.py	6	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.7_ContentTools/test_content_tools.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.19_JobLifecycle/test_job_lifecycle.py	4	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.4_MongoDBConnector/test_mongodb_connector.py	5	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.5_FilterModel/test_filter_model.py	3	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.9_SearchIndexer/test_search_indexer.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.12_SchemaChangeService/test_schema_change_service.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.2_AuthMiddleware/test_auth_middleware.py	6	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.16_ElasticsearchConnector/test_elasticsearch_connector.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.1_ConfigLoading/test_config_loading.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.20_DiscoveryApi/test_discovery_api.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.20_McpServer/test_mcp_server.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.15_MongoConfig/test_mongo_config_resolution.py	4	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.21_ProfileScopeAndSchemaApproval/test_profile_scope_schema_approval.py	3	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.17_CassandraConnector/test_cassandra_connector.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.13_CouchDBConnector/test_couchdb_connector.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.8_RelationshipTools/test_relationship_tools.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.14_OpenSearchConnector/test_opensearch_connector.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.3_AccessControlService/test_access_control_service.py	5	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/unit/UT1.10_SearchService/test_search_service.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/e2e/test_w28a746_live_preprod_contract.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/application/AT_WEBUI_E2E/test_webui_e2e.py	17	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
