test_file	pre_sha256	post_sha256	changed
tests/unit/UT1.6_CatalogTools/test_catalog_tools.py	7080d90a51f3	7080d90a51f3	N
tests/unit/UT1.18_RelationalConnectorDispatch/test_relational_connector_dispatch.py	603e2d0adb5c	603e2d0adb5c	N
tests/unit/UT1.22_TestDataSeed/test_test_data_seed_api.py	2a64c039db73	2a64c039db73	N
tests/unit/UT1.52_FlatLoginContract/test_flat_login_contract.py	b1cdb20db2ec	b1cdb20db2ec	N
tests/unit/UT1.15_A2AServer/test_a2a_server.py	cce6f9aafcad	cce6f9aafcad	N
tests/unit/UT1.7_ContentTools/test_content_tools.py	1f3b7a154918	1f3b7a154918	N
tests/unit/UT1.51_AuthedNonAdminGate/test_authed_non_admin_gate.py	ea98d1332891	b0bc8259ec03	Y
tests/unit/UT1.19_JobLifecycle/test_job_lifecycle.py	1f4557d8b580	1f4557d8b580	N
tests/unit/UT1.4_MongoDBConnector/test_mongodb_connector.py	babafb8d38da	babafb8d38da	N
tests/unit/UT1.5_FilterModel/test_filter_model.py	245cf016e9a9	245cf016e9a9	N
tests/unit/UT1.9_SearchIndexer/test_search_indexer.py	18fee67f2cba	18fee67f2cba	N
tests/unit/UT1.50_UnauthAuthGate/test_unauth_auth_gate.py	7c154d7dbab9	89fa85998144	Y
tests/unit/UT1.12_SchemaChangeService/test_schema_change_service.py	d7602570e65e	d7602570e65e	N
tests/unit/UT1.2_AuthMiddleware/test_auth_middleware.py	aad3bf2c440b	aad3bf2c440b	N
tests/unit/UT1.16_ElasticsearchConnector/test_elasticsearch_connector.py	5681e6da94e6	5681e6da94e6	N
tests/unit/UT1.1_ConfigLoading/test_config_loading.py	789badd82fdb	789badd82fdb	N
tests/unit/UT1.20_DiscoveryApi/test_discovery_api.py	f387cb6cd124	f387cb6cd124	N
tests/unit/UT1.20_McpServer/test_mcp_server.py	02c4905f2b1f	02c4905f2b1f	N
tests/unit/UT1.15_MongoConfig/test_mongo_config_resolution.py	3d6a4f3ca0a0	3d6a4f3ca0a0	N
tests/unit/UT1.21_ProfileScopeAndSchemaApproval/test_profile_scope_schema_approval.py	e7c5f2e2344c	e7c5f2e2344c	N
tests/unit/UT1.17_CassandraConnector/test_cassandra_connector.py	64ddae523180	64ddae523180	N
tests/unit/UT1.13_CouchDBConnector/test_couchdb_connector.py	40dd914f0032	40dd914f0032	N
tests/unit/UT1.8_RelationshipTools/test_relationship_tools.py	f8c6b92399b4	f8c6b92399b4	N
tests/unit/UT1.14_OpenSearchConnector/test_opensearch_connector.py	21f0409a11ac	21f0409a11ac	N
tests/unit/UT1.3_AccessControlService/test_access_control_service.py	b329f9621437	b329f9621437	N
tests/unit/UT1.10_SearchService/test_search_service.py	67975ecdbb9d	67975ecdbb9d	N
tests/unit/UT1.11_WebUiServing/test_web_ui_serving.py	bf3b662cbda6	717afb098959	Y
tests/e2e/test_w28a746_live_preprod_contract.py	ad5c17c3c33f	ad5c17c3c33f	N
tests/application/AT_WEBUI_E2E/test_webui_e2e.py	f103827efda8	f103827efda8	N
tests/system/ST1.13_CassandraConnector/test_cassandra_connector_real.py	162e8785b291	162e8785b291	N
tests/system/ST1.9_CouchDBConnector/test_couchdb_connector_real.py	5fc1b2414c85	5fc1b2414c85	N
tests/system/ST1.4_CatalogApi/test_catalog_api.py	0339dcd22f2d	0339dcd22f2d	N
tests/system/ST1.15_MariaDBConnector/test_mariadb_connector_real.py	0caeac83fad7	0caeac83fad7	N
tests/system/ST1.10_OpenSearchConnector/test_opensearch_connector_real.py	ce78a20ecf11	ce78a20ecf11	N
tests/system/ST1.5_ContentApi/test_content_api.py	b10958ec5090	b10958ec5090	N
tests/system/ST1.12_ElasticsearchConnector/test_elasticsearch_connector_real.py	e2c807083a49	e2c807083a49	N
tests/system/ST1.3_MongoDBConnector/test_mongodb_connector_real.py	a10b23620f4d	a10b23620f4d	N
tests/system/ST1.8_WebUiServing/test_web_ui_system_serving.py	a1b0cc7d308b	a1b0cc7d308b	N
tests/system/ST1.14_PostgreSQLConnector/test_postgresql_connector_real.py	81e8c1a1d2a3	81e8c1a1d2a3	N
tests/system/ST1.1_ServerStartup/test_server_startup.py	5e688e325ea6	5e688e325ea6	N
tests/system/ST1.7_SearchApi/test_search_api.py	44ec0c71c5b6	44ec0c71c5b6	N
tests/system/ST1.2_AccessControlApi/test_access_control_api.py	ef013104745e	ef013104745e	N
tests/system/ST1.6_SchemaApi/test_schema_api.py	407a85343a38	407a85343a38	N
tests/quality/QT1.1_ProjectStructure/test_project_structure.py	01b10ae3a3c5	01b10ae3a3c5	N
tests/smoke/test_w28a746_b_method_idam.py	63332d4d5807	63332d4d5807	N
tests/fixtures/test_seed_data.py	05ef1f35de60	05ef1f35de60	N
tests/integration/IT1.5_RelationshipLifecycle/test_relationship_lifecycle.py	4c4b99e13275	4c4b99e13275	N
tests/integration/IT1.12_SavedQueries/test_saved_queries_api.py	63b58def1513	63b58def1513	N
tests/integration/IT1.9_OpenSearchMcpTools/test_opensearch_mcp_tools.py	fdd870e425a3	fdd870e425a3	N
tests/integration/IT1.2_MongoDbMcpTools/test_mongodb_mcp_tools.py	ea20e621224b	ea20e621224b	N
tests/integration/IT1.6_SearchIndexingLifecycle/test_search_indexing_lifecycle.py	18fbab6e878a	18fbab6e878a	N
tests/integration/IT1.4_ContentCRUDLifecycle/test_content_crud_lifecycle.py	1b782e222dde	1b782e222dde	N
tests/integration/IT1.10_BackendConnectorMatrix/test_backend_connector_matrix.py	d42cfedd0f28	d42cfedd0f28	N
tests/integration/IT1.11_SourceConnections/test_source_connections_api.py	359db1094af9	359db1094af9	N
tests/integration/IT1.7_SchemaChangeLifecycle/test_schema_change_lifecycle.py	4fe66efc3745	4fe66efc3745	N
tests/integration/IT1.3_FullDiscoveryFlow/test_full_discovery_flow.py	230b5e0db3f3	230b5e0db3f3	N
tests/integration/IT1.8_CouchDbMcpTools/test_couchdb_mcp_tools.py	21a80a288363	21a80a288363	N
tests/integration/IT1.1_AccessControlLifecycle/test_access_control_lifecycle.py	9645ac05cc7e	9645ac05cc7e	N
