name	route	url	body_len	path
00-login	/login	https://dbmcpserver0.cloud-dog.net/login	109	working/w28a-746/current/preprod-webui-smoke/screenshots/00-login.png
01-authenticated-dashboard	/	https://dbmcpserver0.cloud-dog.net/	1156	working/w28a-746/current/preprod-webui-smoke/screenshots/01-authenticated-dashboard.png
dashboard	/	https://dbmcpserver0.cloud-dog.net/	1154	working/w28a-746/current/preprod-webui-smoke/screenshots/dashboard.png
profiles	/admin/profiles	https://dbmcpserver0.cloud-dog.net/admin/profiles	1037	working/w28a-746/current/preprod-webui-smoke/screenshots/profiles.png
users	/idam/users	https://dbmcpserver0.cloud-dog.net/idam/users	1273	working/w28a-746/current/preprod-webui-smoke/screenshots/users.png
groups	/idam/groups	https://dbmcpserver0.cloud-dog.net/idam/groups	665	working/w28a-746/current/preprod-webui-smoke/screenshots/groups.png
api-keys	/idam/api-keys	https://dbmcpserver0.cloud-dog.net/idam/api-keys	1808	working/w28a-746/current/preprod-webui-smoke/screenshots/api-keys.png
roles	/idam/roles	https://dbmcpserver0.cloud-dog.net/idam/roles	1199	working/w28a-746/current/preprod-webui-smoke/screenshots/roles.png
rbac	/idam/rbac	https://dbmcpserver0.cloud-dog.net/idam/rbac	731	working/w28a-746/current/preprod-webui-smoke/screenshots/rbac.png
catalogue	/catalogue	https://dbmcpserver0.cloud-dog.net/catalogue	832	working/w28a-746/current/preprod-webui-smoke/screenshots/catalogue.png
data-browser	/data-browser	https://dbmcpserver0.cloud-dog.net/data-browser	1169	working/w28a-746/current/preprod-webui-smoke/screenshots/data-browser.png
search	/search	https://dbmcpserver0.cloud-dog.net/search	1248	working/w28a-746/current/preprod-webui-smoke/screenshots/search.png
relationships	/relationships	https://dbmcpserver0.cloud-dog.net/relationships	810	working/w28a-746/current/preprod-webui-smoke/screenshots/relationships.png
schema	/schema	https://dbmcpserver0.cloud-dog.net/schema	1053	working/w28a-746/current/preprod-webui-smoke/screenshots/schema.png
audit	/audit	https://dbmcpserver0.cloud-dog.net/audit	5349	working/w28a-746/current/preprod-webui-smoke/screenshots/audit.png
jobs	/jobs	https://dbmcpserver0.cloud-dog.net/jobs	1143	working/w28a-746/current/preprod-webui-smoke/screenshots/jobs.png
mcp-console	/mcp-console	https://dbmcpserver0.cloud-dog.net/mcp-console	1484	working/w28a-746/current/preprod-webui-smoke/screenshots/mcp-console.png
a2a-console	/a2a-console	https://dbmcpserver0.cloud-dog.net/a2a-console	913	working/w28a-746/current/preprod-webui-smoke/screenshots/a2a-console.png
api-docs	/api-docs	https://dbmcpserver0.cloud-dog.net/api-docs	620	working/w28a-746/current/preprod-webui-smoke/screenshots/api-docs.png
settings	/settings	https://dbmcpserver0.cloud-dog.net/settings	13236	working/w28a-746/current/preprod-webui-smoke/screenshots/settings.png
